Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python3.10, 2to3, -1,893.818969726562500000, 692.515869140625000000,  ,  , 32360, 63.0, 43656
Python3.10, 2to3, -1,899.858398437500000000, 698.237670898437500000,  ,  , 32372, 60.5, 43788
Python3.10, 2to3, -1,893.911193847656250000, 692.522094726562500000,  ,  , 32358, 60.8, 43664
Python3.10, 2to3, -1,894.488952636718750000, 694.113525390625000000,  ,  , 32312, 64.5, 43792
Python3.10, 2to3, -1,892.299499511718750000, 691.645385742187500000,  ,  , 32311, 65.0, 43916
Python3.10, 2to3, -1,893.578063964843750000, 692.705444335937500000,  ,  , 32361, 61.8, 43664
Python3.10, 2to3, -1,895.564758300781250000, 695.034057617187500000,  ,  , 32358, 65.0, 43792
Python3.10, 2to3, -1,896.407409667968750000, 696.047790527343750000,  ,  , 32326, 64.0, 43916
Python3.10, 2to3, -1,892.034118652343750000, 691.610351562500000000,  ,  , 32309, 63.5, 43668
Python3.10, 2to3, -1,893.531921386718750000, 693.092163085937500000,  ,  , 32341, 61.0, 43788
Python3.7, 2to3, -1,962.235046386718750000, 745.581481933593750000,  ,  , 34873, 59.8, 44932
Python3.7, 2to3, -1,957.779907226562500000, 740.195251464843750000,  ,  , 34903, 61.5, 44932
Python3.7, 2to3, -1,954.220092773437500000, 738.579467773437500000,  ,  , 34868, 58.0, 44928
Python3.7, 2to3, -1,953.039489746093750000, 735.580688476562500000,  ,  , 34874, 57.5, 44816
Python3.7, 2to3, -1,949.219421386718750000, 733.430603027343750000,  ,  , 34838, 60.0, 44804
Python3.7, 2to3, -1,954.490661621093750000, 736.882568359375000000,  ,  , 34905, 59.0, 44936
Python3.7, 2to3, -1,952.166748046875000000, 736.403625488281250000,  ,  , 34850, 57.0, 44932
Python3.7, 2to3, -1,956.441589355468750000, 738.838745117187500000,  ,  , 34902, 60.2, 44932
Python3.7, 2to3, -1,949.780578613281250000, 733.346862792968750000,  ,  , 34946, 57.0, 44932
Python3.7, 2to3, -1,957.069213867187500000, 739.598327636718750000,  ,  , 34884, 58.0, 44932
Python3.8, 2to3, -1,934.278564453125000000, 721.659179687500000000,  ,  , 34099, 62.2, 43996
Python3.8, 2to3, -1,932.313171386718750000, 720.926452636718750000,  ,  , 34147, 58.5, 43996
Python3.8, 2to3, -1,932.718139648437500000, 719.528381347656250000,  ,  , 34195, 60.2, 43996
Python3.8, 2to3, -1,930.491210937500000000, 719.354980468750000000,  ,  , 34090, 59.8, 43996
Python3.8, 2to3, -1,935.577575683593750000, 722.796936035156250000,  ,  , 34142, 59.8, 43996
