Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, nofib, -1,1178.319030761718750000, 961.065307617187500000,  ,  , 118517, 57.6, 399616
Haskell, nofib, -1,1179.607360839843750000, 964.362731933593750000,  ,  , 118654, 57.4, 399616
Haskell, nofib, -1,1182.517089843750000000, 967.582519531250000000,  ,  , 118962, 57.0, 399616
Haskell, nofib, -1,1174.110412597656250000, 955.777587890625000000,  ,  , 118132, 56.5, 399616
Haskell, nofib, -1,1313.857177734375000000, 930.158935546875000000,  ,  , 132157, 58.5, 399616
Haskell, nofib, -1,1327.173645019531250000, 880.424804687500000000,  ,  , 133465, 60.9, 399616
Haskell, nofib, -1,1319.654724121093750000, 871.085510253906250000,  ,  , 132693, 61.2, 399616
Haskell, nofib, -1,1317.907531738281250000, 876.667480468750000000,  ,  , 132484, 61.6, 399616
Haskell, nofib, -1,1420.452697753906250000, 928.139770507812500000,  ,  , 142912, 62.1, 399616
Haskell, nofib, -1,1351.801391601562500000, 896.984924316406250000,  ,  , 135934, 62.4, 399616
Haskell, nofib, 5,1382.692016601562500000, 464.720214843750000000,  ,  , 279779, 57.5, 399616
Haskell, nofib, 5,1394.955322265625000000, 469.472900390625000000,  ,  , 282217, 57.2, 399616
Haskell, nofib, 5,2137.500610351562500000, 824.213562011718750000,  ,  , 351688, 59.1, 399616
Haskell, nofib, 5,2417.875488281250000000, 883.016967773437500000,  ,  , 389108, 59.0, 399616
Haskell, nofib, 5,2383.160888671875000000, 917.259643554687500000,  ,  , 390914, 59.1, 399616
Haskell, nofib, 5,2447.830322265625000000, 910.777404785156250000,  ,  , 389861, 59.2, 399488
Haskell, nofib, 5,2515.330017089843750000, 940.826416015625000000,  ,  , 398878, 59.1, 399616
Haskell, nofib, 5,2482.653137207031250000, 970.808349609375000000,  ,  , 398487, 58.1, 399616
Haskell, nofib, 5,1778.759277343750000000, 603.638793945312500000,  ,  , 342138, 58.2, 399616
Haskell, nofib, 5,2051.238403320312500000, 702.623107910156250000,  ,  , 389111, 57.6, 399616
Haskell, nofib, 10,1591.579467773437500000, 887.567199707031250000,  ,  , 160358, 61.8, 399616
Haskell, nofib, 10,1076.742248535156250000, 718.359985351562500000,  ,  , 108069, 61.1, 399616
Haskell, nofib, 10,1074.097534179687500000, 716.960632324218750000,  ,  , 107805, 60.4, 399616
Haskell, nofib, 10,1075.387512207031250000, 718.001220703125000000,  ,  , 107935, 60.0, 399616
Haskell, nofib, 10,1068.749267578125000000, 713.738281250000000000,  ,  , 107268, 59.6, 399616
Haskell, nofib, 10,1076.099609375000000000, 718.763793945312500000,  ,  , 108010, 59.6, 399616
Haskell, nofib, 10,1437.000244140625000000, 885.233520507812500000,  ,  , 145301, 60.6, 399616
Haskell, nofib, 10,1195.186889648437500000, 777.471069335937500000,  ,  , 122276, 59.8, 399616
Haskell, nofib, 10,1126.940002441406250000, 745.412536621093750000,  ,  , 116076, 59.8, 399616
Haskell, nofib, 10,1138.338867187500000000, 752.656555175781250000,  ,  , 117219, 60.2, 399616
Haskell, nofib, 22,1602.726257324218750000, 1349.030944824218750000,  ,  , 75291, 66.0, 399616
Haskell, nofib, 22,1604.903320312500000000, 1350.627746582031250000,  ,  , 75366, 66.1, 399616
Haskell, nofib, 22,1607.792419433593750000, 1353.800476074218750000,  ,  , 75288, 66.1, 399616
Haskell, nofib, 22,1625.631774902343750000, 1364.131774902343750000,  ,  , 75814, 66.9, 399616
Haskell, nofib, 22,1661.890808105468750000, 1388.341735839843750000,  ,  , 77843, 66.9, 399616
Haskell, nofib, 22,1611.355224609375000000, 1356.579162597656250000,  ,  , 75429, 66.8, 399616
Haskell, nofib, 22,1657.828918457031250000, 1378.594604492187500000,  ,  , 83589, 66.9, 399616
Haskell, nofib, 22,1809.936035156250000000, 1479.670349121093750000,  ,  , 87368, 67.9, 399616
Haskell, nofib, 22,1712.138854980468750000, 1413.407775878906250000,  ,  , 84719, 66.5, 399616
Haskell, nofib, 22,1663.807434082031250000, 1384.119934082031250000,  ,  , 83779, 65.8, 399616
